Unnamed: 0,ID,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
80396,16087,Male,Loyal Customer,35,Business Travel,Eco,349,5,1,1,1,5,5,5,5,4,2,2,3,1,5,0,0,Satisfied
20716,125832,Female,Loyal Customer,40,Business Travel,Business,920,1,1,1,1,2,5,4,4,4,4,4,5,4,5,10,3,Satisfied
29653,40743,Female,Loyal Customer,52,Business Travel,Business,3979,1,1,1,1,4,1,2,4,4,4,4,2,4,4,21,7,Satisfied
94582,46572,Male,Loyal Customer,47,Business Travel,Eco,141,5,3,3,3,5,5,5,3,2,5,5,5,4,5,142,158,Satisfied
17127,32593,Male,Loyal Customer,33,Business Travel,Business,3153,0,5,0,4,3,3,3,3,3,4,1,1,2,3,0,0,Satisfied
79116,70221,Female,Disloyal Customer,23,Business Travel,Business,1068,5,0,5,5,4,5,4,4,4,2,5,3,4,4,9,17,Satisfied
72963,112038,Male,Loyal Customer,51,Business Travel,Business,1689,1,1,1,1,3,4,4,4,4,4,4,5,4,3,0,0,Satisfied
37425,117432,Male,Loyal Customer,56,Business Travel,Business,1553,2,2,2,2,2,5,5,4,4,5,4,3,4,4,0,0,Satisfied
90347,114966,Male,Loyal Customer,58,Business Travel,Business,447,2,2,2,2,4,5,5,5,5,5,5,3,5,4,0,0,Satisfied
70237,95525,Male,Loyal Customer,44,Personal Travel,Eco Plus,189,4,4,4,3,5,4,1,5,3,3,4,3,4,5,2,8,Satisfied
12243,12005,Male,Loyal Customer,63,Personal Travel,Eco Plus,643,4,5,4,3,5,4,5,5,3,5,5,3,4,5,0,0,Satisfied
26390,63772,Female,Loyal Customer,60,Business Travel,Business,1721,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0,Satisfied
26334,87993,Male,Loyal Customer,51,Business Travel,Business,442,,3,3,3,5,4,5,3,3,3,3,4,3,3,0,0,Satisfied
66521,109709,Male,Loyal Customer,34,Business Travel,Business,2849,4,2,4,4,5,4,4,2,2,2,2,3,2,3,1,0,Satisfied
74230,115394,Female,Disloyal Customer,38,Business Travel,Business,417,4,5,5,4,3,5,3,3,3,2,4,3,5,3,2,0,Satisfied
61648,88439,Male,Loyal Customer,70,Business Travel,Business,271,1,1,2,1,3,4,4,4,4,4,4,4,4,5,0,2,Satisfied
